title,doi,authors,year
Integrating Remote Sensing and Street View Images to Quantify Urban,https://doi.org/10.3390/rs12020329,Barbierato et al. ,2020
Quantifying the green view indicator for assessing urban greening quality: An analysis based on Internet-crawling street view data,https://doi.org/10.1016/j.ecolind.2020.106192,Chen et al.,2020
Modelling and mapping eye-level greenness visibility exposure using multi-source data at high spatial resolutions,https://doi.org/10.1016/j.scitotenv.2020.143050,Labib et al.,2021
Exploring the distribution of city street greenery from eye-level: an application of Baidu Map panoramic images data,https://doi.org/10.1080/00167223.2021.2019073,Xue et al.,2021
Modelling eye-level visibility of urban green space: Optimising city-wide point-based viewshed computations through prototyping ,https://doi.org/10.5194/agile-giss-3-27-2022,Brinkmann et al.,2022
Is eye-level greening associated with the use of dockless shared bicycles?,https://doi.org/10.1016/j.ufug.2020.126690,Chen et al.,2020
Evaluating Greenery around Streets Using Baidu Panoramic Street View Images and the Panoramic Green View Index ,https://doi.org/10.3390/f10121109,Chen et al.,2019
Satisfaction with urban trees associates with tree canopy cover and tree visibility around the home,https://doi.org/10.21203/rs.3.rs-2511683/v1,"Barona, labib, et al. ",2023
A green view index for urban transportation: How much greenery do we view while moving around in cities?,https://doi.org/10.1080/15568318.2019.1672001,"Wu, Cheng, eta al.",2019
Automatic Understanding and Mapping of Regions in Cities Using Google Street View Images ,https://doi.org/10.3390/app12062971,Rangel et al-.,2022
Accessing Eye-level Greenness Visibility from Open-Source Street View Images: A methodological development and implementation in multi-city and multi-country contexts,https://doi.org/10.21203/rs.3.rs-3400487/v1,"Ilse Abril Vázquez Sánchez, SM Labib",2023
Does the Visibility of Greenery Increase Perceived Safety in Urban Areas? Evidence from the Place Pulse 1.0 Dataset,https://doi.org/10.3390/ijgi4031166,Li et al.,2015
Can you see green? Assessing the visibility of urban forests in cities,https://doi.org/10.1016/j.landurbplan.2008.12.004,Yang et al.,2009
"Evaluating Street Greenery by Multiple Indicators Using Street-Level Imagery and Satellite Images: A Case Study in Nanjing, China",https://doi.org/10.3390/f11121347,Tong et al.,2020
Daily Accessed Street Greenery and Housing Price: Measuring Economic Performance of Human-Scale Streetscapes via New Urban Data,https://doi.org/10.3390/su11061741,Yu Ye et al.,2019
Evaluating the Street Greening with the Multiview Data Fusion,https://doi.org/10.1155/2021/2793474,Sun et al.,2021
How to Systematically Evaluate the Greenspace Exposure of Residential Communities? A 3-D Novel Perspective Using UAV Photogrammetry,https://doi.org/10.3390/rs15061543,Xia et al. ,2023
Effect Modifications of Overhead-View and Eye-Level Urban Greenery on HeatMortality Associations: Small-Area Analyses Using Case Time Series Design and Different Greenery Measurements,https://doi.org/10.1289/EHP12589,Song et al.,2023
Assessing Urban Greenery by Harvesting Street View Data: A Review,https://doi.org/10.1016/j.ufug.2023.127917,Lu et al.,2023
Advanced Integration of Urban Street Greenery and Pedestrian Flow: A Multidimensional Analysis in Chengdus Central Urban District,https://doi.org/10.3390/ijgi13070254,Ma et al. ,2024
